topic_id,sample_type,position,question,cosine_similarity,question_sha256
0,boundary,1,"É possível emitir a guia pelo Chrome, usando a versão do site para computador?",0.7189422845840454,9e9578681d070ca1caf58723f44dd28e1d59ee95c413e1b5666e3e6777751750
0,boundary,2,É permitido trabalhar como afiliado da Shopee enquanto se recebe salário-maternidade?,0.7842892408370972,e599ef4e05ea26297acf686370dc4c586f6ddee4fd08ec275316236d4300163b
0,boundary,3,"No meu caso, a guia para continuar contribuindo deve ser preenchida da mesma forma que no vídeo ou preciso बदलá-la?",0.7897536158561707,931dc55f741fa904e05623f58f5b50181a355d713d61434f01fbbc41f11c3f2e
0,boundary,4,Devo preencher a competência com o mês e o ano em que estou?,0.7945447564125061,bfdb462b796418685fa588d0b13ffb861154a265aa9942b17ac8de7cda8331da
0,boundary,5,"Por que, ao tentar emitir a guia pelo aplicativo, ele vai para a parte de calcular contribuição e não permite gerar a guia?",0.8012757301330566,fc81713ba48508f364a5383d25a8d45fd31cf392366714c5c289e79be3003ae1
0,central,1,Uma gestante de 6 meses que vai começar a contribuir agora tem direito ao auxílio-maternidade?,0.9845380783081055,39135b4ba2b1fde3fcdc36ff708c946c48eb1ad0aba1fd5d94d5f00a3e86cde4
0,central,2,É necessário contribuir por mais um mês para ter direito ao auxílio-maternidade?,0.9836716055870056,4deda0906c12e6c03d42c0e3673c6beed455c47a88fe99cf4035689653b1d8d6
0,central,3,Com quantos meses de contribuição é possível ter direito ao auxílio-maternidade?,0.9832190275192261,acb4f1d2831a4f8aeb05169a840aa52dfe690f829a0631c6cdda5f185fecd705
0,central,4,"No meu caso, preciso aguardar minha filha nascer para conseguir solicitar o salário-maternidade?",0.9831874370574951,e45681dbc8c592895d3b956eb83e3b1d948c5242313eec320692ff5ba9d821cf
0,central,5,"Se o bebê já nasceu, ainda é possível receber o salário-maternidade?",0.9831321239471436,5d83d7a44ebcf37205672d972eef400394e137935be1e068bb5742385c02a356
1,boundary,1,Uma mulher de 39 anos com enxaqueca pode usar o anel vaginal?,0.8436088562011719,0a8eafc953d0d8058869503fbae140708716626a467a264764bfe11b8072880a
1,boundary,2,"Depois de terminar essa cartela, devo pular a pausa de 4 dias e emendar a próxima cartela?",0.8529304265975952,abb2c6f0e2ced5d848a8db909f50ba43663e1ec2fb326e7cf97f4ee499376c4a
1,boundary,3,"Sertralina, clonazepam e Pasalix podem interferir na eficácia do anticoncepcional Yaz?",0.8590654134750366,3635b95e3750c230cb255de235b3ce2b67b9bb13042bd97761967d594122ceea
1,boundary,4,"O uso de sertralina, clonazepam e Pasalix pode interferir na eficácia do anticoncepcional Yaz?",0.8703622221946716,9a44c2d7a56fa09d068250d73e56f66f162cf34fca01eac26cbb47b6e45a11d3
1,boundary,5,O pantoprazol corta o efeito do anticoncepcional?,0.8762689828872681,040e377c000501aaae0739949aa36933410c06b9808aae3457e6cdf17276f08f
1,central,1,Tive relação no 9º dia de uso do anticoncepcional; posso engravidar?,0.9794164896011353,0f87f8e48ff6f05253a909e2f849ad6af3697c317fc6663b7cfaed67a226968b
1,central,2,É possível que eu esteja grávida após iniciar o anticoncepcional há 4 dias e ter tido relações?,0.9793171286582947,c5233542cab2666fbe948a195f5700d253757c6f99e50d4eb2beb34771ba99c3
1,central,3,"Tomar a pílula anticoncepcional no mesmo dia, mas com atraso de horário, oferece risco de gravidez?",0.9782990217208862,f2feeabf6034fa75695e4a6fb2efaf19d7ec5a9077d36a5598a42753c2bc3d0d
1,central,4,"Depois de parar a injeção anticoncepcional trimestral e ficar três meses sem menstruar, isso pode ser gravidez?",0.9780623316764832,12bf48b16f3cdeb290bdfaf6502345d198f1ae301071c1ee3d62349793a1f4b0
1,central,5,"Se eu não tomar outra pílula, há risco de engravidar mesmo estando há 7 dias tomando anticoncepcional?",0.9780608415603638,337ab0ea74d209e34925d641c6402b123487261a71485720c2836e452bd9e535
2,boundary,1,O parto vaginal seria uma espécie de cerimônia de iniciação para a maternidade?,0.8112331032752991,781bef94fb540f05e935cce702c309676e72d190f2f949592cdc88295926f5dc
2,boundary,2,A tibolona é segura para uma mulher de 51 anos que está com o sono péssimo?,0.8130398392677307,a29f13e40481f5f0dca1b10ffe5546889f5eed13c9628fd71547c1ba435e7a8b
2,boundary,3,A via oral do Ultragestan pode causar náuseas?,0.8312069177627563,0a8b51618faf767e1e25fb5c5af84fd85df8e322af7e70f3d6b0e0bd52a8bddd
2,boundary,4,O AD-Til deve ser administrado em 4 gotas por semana?,0.8319326639175415,02cad0546f9b70561ef9b7e523f24952787a4a4413e79432a0839476bafb1a98
2,boundary,5,"Pode haver hipoplasia mamária mesmo com a reposição de GH, se a causa estiver relacionada a outro hormônio?",0.8340666890144348,376661772b573316730438d6eeed5b4d5dbbb6fc7e1a084843095635c1470808
2,central,1,A progesterona precisa ser usada por via oral?,0.9818262457847595,0d3ded501dc2e5b05d8c46a74e30a9235d0766a2226c6e7202120a432fcb13b1
2,central,2,A progesterona deve ser tomada de forma contínua?,0.9815151691436768,a1ae87dd7cbb6b3d4442b0172c1a3b67093540b3b3ef066e6ef63b762a13a377
2,central,3,É aconselhável tomar um comprimido de progesterona de 100 mg por noite?,0.9808193445205688,7fe7474a8cfa7b3b5f9b6188548556fadf982a8e3d9ec3613a1d55beec80c920
2,central,4,Por quanto tempo a progesterona pode ser usada?,0.9799124002456665,d9f3af5437c6d789aa66402630499fe07f073f98bf8195763affc0e6c9be7447
2,central,5,O médico indicou para você tomar progesterona depois do ciclo menstrual?,0.979733943939209,214ab3ddc615fc8e6560af4659ccffdb7832c02d22cd921ea3ded7e36d64d252
3,boundary,1,O iodo a que o doutor se refere pode ser no sal marinho?,0.7625306844711304,d5c68aa024fbfefd83b4b3a1f0488d67e76a9ed9e363de22c84f96f71ed0a3e3
3,boundary,2,Como um teste de gravidez em papel consegue dizer se uma pessoa está grávida ou não?,0.8601232171058655,1e57ab4129c6b577cd07a18c681908f30ac48345ce9d224d1169b0e277e025af
3,boundary,3,Como nasce uma pedra grávida?,0.8693145513534546,64c69bc36898dd1bd252dfb18f71b554eea732d176d543f42a2944180154ac09
3,boundary,4,Isso é um espermatozoide?,0.8893373608589172,63b02768b4236bbcca25a9a2cc73f46c02d7efb0dae3b27aebb26232f0600356
3,boundary,5,Maria engravidou de Jesus na adolescência também?,0.8956811428070068,a3da120f306a350bbae58613743faabc551dd237514ea40599874da474cc8dc8
3,central,1,Será que ela está mesmo grávida?,0.9909818172454834,fe3a00c718510fbe908f760b9b48b67f8356ace7dda12e3e9e25f163201b10bf
3,central,2,Ela estava realmente grávida?,0.9901573061943054,53dff10bbee8d62314a588cbe5b5a467d97bae256d0cc90871c10a5e252635b6
3,central,3,E se ela estiver realmente grávida?,0.9895989894866943,5852bb944e446c545f6e53a4950085340024049b34eac5143e40c3b76234ba74
3,central,4,Ela está grávida de verdade?,0.9892375469207764,ebf1d2b8c06ac12f2c9af8162e85eecfdd2400ccd19b36bee0cc1c9f30793cac
